2025/04/06 19:35:085674 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:085682 INFO  HTTP Connection UP: 127.0.0.1:39730 - main.cc:96
2025/04/06 19:35:085687 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:085694 INFO  TcpConnection::handleClose fd=5state=3 - TcpConnection.cc:241
2025/04/06 19:35:085697 INFO  func =>fd5events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:085701 INFO  HTTP Connection DOWN: 127.0.0.1:39718 - main.cc:98
2025/04/06 19:35:085706 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81599 - TcpServer.cc:114
2025/04/06 19:35:085713 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085772 INFO  removeChannel fd=5 - EPollPoller.cc:102
2025/04/06 19:35:085780 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81599]at fd=5state=0 - TcpConnection.cc:58
2025/04/06 19:35:085791 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:085796 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:085798 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085810 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:085814 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81602]from %s127.0.0.1:39740 - TcpServer.cc:75
2025/04/06 19:35:085821 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81602]at fd=5 - TcpConnection.cc:52
2025/04/06 19:35:085831 INFO  func =>fd5events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:085838 INFO  HTTP Connection UP: 127.0.0.1:39740 - main.cc:96
2025/04/06 19:35:085843 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:085849 INFO  TcpConnection::handleClose fd=13state=3 - TcpConnection.cc:241
2025/04/06 19:35:085852 INFO  func =>fd13events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:085856 INFO  HTTP Connection DOWN: 127.0.0.1:39724 - main.cc:98
2025/04/06 19:35:085861 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81600 - TcpServer.cc:114
2025/04/06 19:35:085868 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085934 INFO  removeChannel fd=13 - EPollPoller.cc:102
